year,series,value,unit,source,method
149,irf_co2_retained_fraction_at_horizon,0.375609568,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
150,irf_co2_retained_fraction_at_horizon,0.375091609,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
151,irf_co2_retained_fraction_at_horizon,0.374578123,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
152,irf_co2_retained_fraction_at_horizon,0.374069013,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
153,irf_co2_retained_fraction_at_horizon,0.373564183,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
154,irf_co2_retained_fraction_at_horizon,0.373063544,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
155,irf_co2_retained_fraction_at_horizon,0.372567005,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
156,irf_co2_retained_fraction_at_horizon,0.37207448,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
157,irf_co2_retained_fraction_at_horizon,0.371585884,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
158,irf_co2_retained_fraction_at_horizon,0.371101135,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
159,irf_co2_retained_fraction_at_horizon,0.370620152,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
160,irf_co2_retained_fraction_at_horizon,0.370142858,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
161,irf_co2_retained_fraction_at_horizon,0.369669177,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
162,irf_co2_retained_fraction_at_horizon,0.369199034,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
163,irf_co2_retained_fraction_at_horizon,0.368732357,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
164,irf_co2_retained_fraction_at_horizon,0.368269076,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
165,irf_co2_retained_fraction_at_horizon,0.367809123,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
166,irf_co2_retained_fraction_at_horizon,0.367352432,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
167,irf_co2_retained_fraction_at_horizon,0.366898936,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
168,irf_co2_retained_fraction_at_horizon,0.366448574,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
169,irf_co2_retained_fraction_at_horizon,0.366001283,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
170,irf_co2_retained_fraction_at_horizon,0.365557004,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
171,irf_co2_retained_fraction_at_horizon,0.365115678,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
172,irf_co2_retained_fraction_at_horizon,0.364677249,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
173,irf_co2_retained_fraction_at_horizon,0.364241661,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
174,irf_co2_retained_fraction_at_horizon,0.363808861,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
