year,series,region_or_material,value,unit,source,method
2011,eolrr,Zn,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Sempels (2009)",transcribed_table_range_high
2011,eolrr,Zn,52.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Graedel et al. (2005)",transcribed_table_point
2011,osr,Sn,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Carlin, USGS (2004)",transcribed_table_point
2011,rc,Sn,22.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Carlin, USGS (2004)",transcribed_table_point
2011,eolrr,Sn,75.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Carlin, USGS (2004)",transcribed_table_point
2011,osr,Pb,95.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Smith, USGS (2004)",transcribed_table_point
2011,osr,Pb,96.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Mao et al. (2008)",transcribed_table_point
2011,rc,Pb,63.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Smith, USGS (2004)",transcribed_table_point
2011,rc,Pb,42.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Wilson and White (2009)",transcribed_table_point
2011,rc,Pb,51.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Mao et al. (2008)",transcribed_table_point
2011,eolrr,Pb,95.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Smith, USGS (2004)",transcribed_table_point
2011,eolrr,Pb,52.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Wilson and White (2009)",transcribed_table_point
2011,eolrr,Pb,68.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Mao et al. (2008)",transcribed_table_point
2011,osr,Ru,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_upper_bound
2011,rc,Ru,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,rc,Ru,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
2011,eolrr,Ru,5.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_low
2011,eolrr,Ru,15.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table E2, p. 33; estimate from working group expert opinion",transcribed_table_range_high
