"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Afghanistan","Non-metallic minerals","Domestic Material Consumption","DMC","t","674909","703088","703299","986464","1070709","1051257","1211559","1467745","957031","1014455","378754","667675","619123","99168","757542","514690","604015","695294","700002","701328","780187","772087","872027","866527","896027","890227","896340","877540","899040","902260","503964","386332","495898","560265","582965","571698","872164","439398","488896","1030042","3114658","2973207","3089114","4400747","2945664","3726181","3604820","2002317","4601852","4840749"
"Afghanistan","Non-metallic minerals","Domestic Material Input","DMI","t","674909","703208","703299","986468","1070709","1051257","1216596","1481689","957031","1014455","378754","667675","619123","99168","757542","514690","604015","695294","700002","701328","780187","772087","872027","866527","896027","890227","896340","877540","899040","902260","503964","386332","495898","560265","582965","571698","872164","439398","496897","1035785","3122733","3015027","3089114","4400747","2945664","3750969","3705043","2002317","4973591","5215294"
"Afghanistan","Non-metallic minerals","Exports","EXP","t","0","120","1","4","0","0","5037","13944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8000","5742","8075","41820","0","0","0","24788","100223","0","371740","374546"
"Afghanistan","Non-metallic minerals","Imports","IMP","t","2550","56022","3222","3600","44523","730","1052","61225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1094","572032","2635761","2552423","2398787","3704895","2277401","2573669","2066866","0","3733946","3901009"
"Afghanistan","Non-metallic minerals","Physical Trade Balance","PTB","t","2550","55902","3222","3595","44523","730","-3985","47281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6907","566290","2627686","2510603","2398787","3704895","2277401","2548881","1966643","0","3362206","3526463"
"Afghanistan","Non-metallic minerals","Raw Material Consumption","RMC","t","2068708","2193544","2331000","2702832","2881120","3024617","3487195","3802627","3502943","3734438","3209374","3568589","3589960","3248090","4086622","3812846","3747142","4071870","4232960","4239112","4265137","3491092","4050641","3563688","2932479","3327491","3224564","3658282","4301464","4318950","5209871","5003817","5223172","6305534","6866699","6965386","6563258","6881996","6196502","6046513","7187007","8349020","9653916","9050813","8503761","8670387","8360630","8206134","6051200","6748837"
"Afghanistan","Non-metallic minerals","Raw Material Equivalents of exports","RME_EXP","t","33725","33234","33803","41202","47472","54325","62683","72266","61265","54803","25811","29996","30885","7149","24103","13214","23850","26477","28110","28310","30110","37478","58625","54544","70595","60291","76733","86373","304741","344888","186869","124538","47280","57164","46781","115609","207249","99311","98988","102116","84516","60769","76678","77752","77309","157124","241695","479375","206759","217256"
"Afghanistan","Non-metallic minerals","Raw Material Equivalents of imports","RME_IMP","t","1430074","1579592","1664725","1761166","1902406","2028414","2334334","2454429","2607176","2774786","2856430","2930911","3001722","3156071","3353183","3311370","3166978","3403054","3561068","3566094","3515060","2756483","3237239","2751706","2107047","2497556","2404957","2867115","3707165","3761578","4892776","4742023","4774553","5802433","6330516","6509297","5898343","6541909","5799688","5684877","6784551","7947185","9040267","8432713","7912808","7650212","6964147","6683192","5018313","5651808"
"Afghanistan","Products from biomass","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Products from biomass","Domestic Material Consumption","DMC","t","-2192","131","39311","41758","42826","38885","32700","34689","43518","47854","53717","58330","59899","53363","54521","16884","46578","32138","43043","70860","60659","27519","38519","14596","7867","25740","10683","9783","5410","6482","9712","10974","23838","69339","81852","136263","119164","101832","141940","123930","201393","205259","156577","295520","482904","407046","446305","526225","332798","495801"
"Afghanistan","Products from biomass","Domestic Material Input","DMI","t","3565","6337","44357","47033","50254","52220","47646","50879","55091","57322","63863","72940","74740","68931","70283","33373","55589","39994","49151","72766","65101","33239","39259","15346","8680","26505","11469","9819","5493","6894","9833","11095","24098","70068","82985","137875","120256","103044","143349","127789","211236","210644","163697","303286","493439","413725","473021","535489","363435","507180"
"Afghanistan","Products from biomass","Exports","EXP","t","5757","6206","5046","5275","7428","13335","14946","16190","11573","9468","10146","14610","14841","15568","15762","16489","9011","7856","6108","1906","4442","5720","740","750","814","766","786","36","83","412","121","121","260","729","1133","1612","1092","1212","1410","3860","9843","5385","7120","7766","10535","6679","26716","9264","30637","11379"
"Afghanistan","Products from biomass","Imports","IMP","t","3565","6337","44357","47033","50254","52220","47646","50879","55091","57322","63863","72940","74740","68931","70283","33373","55589","39994","49151","72766","65101","33239","39259","15346","8680","26505","11469","9819","5493","6894","9833","11095","24098","70068","82985","137875","120256","103044","143349","127789","211236","210644","163697","303286","493439","413725","473021","535489","363435","507180"
"Afghanistan","Products from biomass","Physical Trade Balance","PTB","t","-2192","131","39311","41758","42826","38885","32700","34689","43518","47854","53717","58330","59899","53363","54521","16884","46578","32138","43043","70860","60659","27519","38519","14596","7867","25740","10683","9783","5410","6482","9712","10974","23838","69339","81852","136263","119164","101832","141940","123930","201393","205259","156577","295520","482904","407046","446305","526225","332798","495801"
"Afghanistan","Products from fossil fuels","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Products from fossil fuels","Domestic Material Consumption","DMC","t","229584","249507","219677","233160","252117","297939","289474","312962","311000","395000","302000","320000","314000","393000","369000","499000","373000","653000","595000","607000","619000","578000","323000","312000","299000","286000","271000","254000","242000","180000","181200","179000","152100","213300","200000","298000","387000","408000","966122","1641910","1947689","2512437","2227466","1578099","1265677","1590116","1194981","1069300","1547506","1266105"
"Afghanistan","Products from fossil fuels","Domestic Material Input","DMI","t","229584","249508","219678","233160","252207","297954","289514","312994","311000","395000","302000","320000","314000","393000","369000","499000","373000","653000","595000","607000","619000","578000","323000","312000","299000","286000","271000","254000","242000","180000","181200","179000","152100","213300","200000","298000","387000","408000","966122","1641910","1947689","2512437","2227466","1578099","1265677","1590116","1194981","1069300","1547579","1266179"
"Afghanistan","Products from fossil fuels","Exports","EXP","t","0","0","1","0","90","15","40","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","74"
"Afghanistan","Products from fossil fuels","Imports","IMP","t","229584","249508","219678","233160","252207","297954","289514","312994","311000","395000","302000","320000","314000","393000","369000","499000","373000","653000","595000","607000","619000","578000","323000","312000","299000","286000","271000","254000","242000","180000","181200","179000","152100","213300","200000","298000","387000","408000","966122","1641910","1947689","2512437","2227466","1578099","1265677","1590116","1194981","1069300","1547579","1266179"
"Afghanistan","Products from fossil fuels","Physical Trade Balance","PTB","t","229584","249507","219677","233160","252117","297939","289474","312962","311000","395000","302000","320000","314000","393000","369000","499000","373000","653000","595000","607000","619000","578000","323000","312000","299000","286000","271000","254000","242000","180000","181200","179000","152100","213300","200000","298000","387000","408000","966122","1641910","1947689","2512437","2227466","1578099","1265677","1590116","1194981","1069300","1547506","1266105"
"Afghanistan","Products from metals","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Products from metals","Domestic Material Consumption","DMC","t","1051","2981","2430","2795","4909","7753","4563","8896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12723","12641","22892","14879","0","0","0","17739","35029","0","52136","52680"
"Afghanistan","Products from metals","Domestic Material Input","DMI","t","1051","2981","2430","2795","4909","7753","4563","8896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12723","12641","22892","14879","0","0","0","17739","35029","0","52323","52871"
"Afghanistan","Products from metals","Exports","EXP","t","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","191"
"Afghanistan","Products from metals","Imports","IMP","t","1051","2981","2430","2795","4909","7753","4563","8896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12723","12641","22892","14879","0","0","0","17739","35029","0","52323","52871"
"Afghanistan","Products from metals","Physical Trade Balance","PTB","t","1051","2981","2430","2795","4909","7753","4563","8896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12723","12641","22892","14879","0","0","0","17739","35029","0","52136","52680"
"Afghanistan","Products from non-metallic minerals","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Products from non-metallic minerals","Domestic Material Consumption","DMC","t","-7040","6764","7885","11456","-33996","-10067","16302","77850","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","381730","22140","43346","51733","30167","100606","67451","48543","45645","0","97692","99433"
